fecha,temperatura
20170111T0500,0.7605287
20170111T0600,0.74052864
20170111T0700,0.010528658
20170111T0800,-1.2994714
20170111T0900,-0.68947136
20170111T1000,2.7605286
20170111T1100,4.2505283
20170111T1200,5.1905284
20170111T1300,5.3005285
20170111T1400,6.2805285
20170111T1500,6.1305285
20170111T1600,6.4605284
20170111T1700,6.4105287
20170111T1800,6.1705284
20170111T1900,5.7405286
20170111T2000,5.6005287
20170111T2100,5.5505285
20170111T2200,5.4005284
20170111T2300,4.7305284
20170112T0000,4.2005286
20170112T0100,4.1005287
20170112T0200,4.1105285
20170112T0300,4.0305285
20170112T0400,4.3905287
20170112T0500,4.1205287
20170112T0600,4.0705285
20170112T0700,4.2205286
20170112T0800,4.4305286
20170112T0900,5.040529
20170112T1000,5.6805286
20170112T1100,6.2805285
20170112T1200,7.5705285
20170112T1300,8.650529
20170112T1400,9.260529
20170112T1500,9.690529
20170112T1600,9.600529
20170112T1700,8.650529
20170112T1800,8.040529
20170112T1900,7.4405284
20170112T2000,7.7205286
20170112T2100,7.1905284
20170112T2200,7.4005284
20170112T2300,8.070529
20170113T0000,8.490529
20170113T0100,8.100529
20170113T0200,5.1705284
20170113T0300,3.6505284
20170113T0400,3.2605286
20170113T0500,2.1905286
20170113T0600,1.5105287
20170113T0700,0.9505287
20170113T0800,0.6405287
20170113T0900,0.7105287
20170113T1000,1.2705287
20170113T1100,1.7805287
20170113T1200,2.4005284
20170113T1300,2.3005285
20170113T1400,2.2905285
20170113T1500,2.4205287
20170113T1600,2.1005285
20170113T1700,1.4205287
20170113T1800,0.79052866
20170113T1900,1.4005287
20170113T2000,0.36052868
20170113T2100,0.7705287
20170113T2200,0.72052866
20170113T2300,1.6105287
20170114T0000,1.9805287
20170114T0100,1.8905287
20170114T0200,1.4605286
20170114T0300,0.54052866
20170114T0400,-0.12947133
20170114T0500,-0.62947136
20170114T0600,-1.2294713
20170114T0700,-1.4094714
20170114T0800,-1.1994714
20170114T0900,-0.96947134
20170114T1000,-0.46947134
20170114T1100,0.08052866
20170114T1200,1.3105286
20170114T1300,1.2905287
20170114T1400,0.5705287
20170114T1500,1.2105286
20170114T1600,1.7505287
20170114T1700,0.98052865
20170114T1800,0.54052866
20170114T1900,0.44052866
20170114T2000,0.000528658
20170114T2100,-0.12947133
20170114T2200,0.030528657
20170114T2300,0.10052866
20170115T0000,-0.16947135
20170115T0100,-0.4994713
20170115T0200,-0.11947135
20170115T0300,-0.5594713
20170115T0400,-0.7894713
20170115T0500,-1.5594714
20170115T0600,-1.5494714
20170115T0700,-1.3694713
20170115T0800,-1.2794713
20170115T0900,-1.6994714
20170115T1000,-0.8694713
20170115T1100,-0.24947134
20170115T1200,0.35052866
20170115T1300,1.7805287
20170115T1400,2.0805285
20170115T1500,2.0605285
20170115T1600,1.7105286
20170115T1700,1.3005286
20170115T1800,0.030528657
20170115T1900,-0.26947135
20170115T2000,-0.43947133
20170115T2100,-0.6694713
20170115T2200,-0.8694713
20170115T2300,-1.2994714
20170116T0000,-1.2394713
20170116T0100,-1.2994714
20170116T0200,-1.5294713
20170116T0300,-1.9294714
20170116T0400,-1.9094714
20170116T0500,-2.1794715
20170116T0600,-2.5994716
20170116T0700,-2.6394715
20170116T0800,-2.5894713
20170116T0900,-1.7694713
20170116T1000,0.22052866
20170116T1100,1.9405286
20170116T1200,1.7705287
20170116T1300,0.8205287
20170116T1400,0.98052865
20170116T1500,0.5805287
20170116T1600,0.43052867
20170116T1700,-1.0494714
20170116T1800,-2.0094714
20170116T1900,-2.5994716
20170116T2000,-3.8894715
20170116T2100,-4.1194715
20170116T2200,-3.4594715
20170116T2300,-2.2194715
20170117T0000,-2.4994714
20170117T0100,-2.6294715
20170117T0200,-3.7094715
20170117T0300,-3.9494715
20170117T0400,-4.0694714
20170117T0500,-4.0094714
20170117T0600,-4.1794715
20170117T0700,-4.3994713
20170117T0800,-4.709471
20170117T0900,-4.3794713
20170117T1000,-2.6294715
20170117T1100,-1.0294713
20170117T1200,-0.32947135
20170117T1300,0.23052865
20170117T1400,0.35052866
20170117T1500,0.20052865
20170117T1600,-0.19947135
20170117T1700,-1.0394714
20170117T1800,-1.6794714
20170117T1900,-1.8494713
20170117T2000,-1.9794713
20170117T2100,-2.0794713
20170117T2200,-2.1894715
20170117T2300,-2.1094716
20170118T0000,-1.9694713
20170118T0100,-2.1394715
20170118T0200,-2.2294714
20170118T0300,-2.4794714
20170118T0400,-2.6494715
20170118T0500,-2.7894714
20170118T0600,-2.9694715
20170118T0700,-3.1594715
20170118T0800,-3.4594715
20170118T0900,-3.1794715
20170118T1000,-2.2894714
20170118T1100,-1.3294713
20170118T1200,-0.6094713
20170118T1300,0.24052864
20170118T1400,0.5105286
20170118T1500,0.38052866
20170118T1600,-0.059471346
20170118T1700,-1.1094713
20170118T1800,-1.9394714
20170118T1900,-2.4194715
20170118T2000,-2.6294715
20170118T2100,-2.7494714
20170118T2200,-2.7694714
20170118T2300,-2.8294713
20170119T0000,-2.8794715
20170119T0100,-2.9394715
20170119T0200,-2.9894714
20170119T0300,-3.1594715
20170119T0400,-3.5794713
20170119T0500,-4.0294714
20170119T0600,-4.4294715
20170119T0700,-4.4694715
20170119T0800,-4.4394712
20170119T0900,-4.1194715
20170119T1000,-3.1494715
20170119T1100,-1.5894713
20170119T1200,-0.19947135
20170119T1300,0.16052866
20170119T1400,0.8805287
20170119T1500,1.3705287
20170119T1600,1.2405287
20170119T1700,0.92052865
20170119T1800,0.53052866
20170119T1900,-2.0794713
20170119T2000,-2.4194715
20170119T2100,-1.9294714
20170119T2200,-1.9994713
20170119T2300,-2.3794715
20170120T0000,-2.7294714
20170120T0100,-3.2094715
20170120T0200,-3.6794715
20170120T0300,-3.8194714
20170120T0400,-3.7894714
20170120T0500,-3.7594714
20170120T0600,-3.7994714
20170120T0700,-3.9294715
20170120T0800,-3.9894714
20170120T0900,-3.5994716
20170120T1000,-2.5094714
20170120T1100,-1.5594714
20170120T1200,-0.35947132
20170120T1300,0.20052865
20170120T1400,0.98052865
20170120T1500,1.3905287
20170120T1600,1.3005286
20170120T1700,0.9605287
20170120T1800,-1.5894713
20170120T1900,-2.6794715
20170120T2000,-2.5594714
20170120T2100,-2.3994715
20170120T2200,-2.5394714
20170120T2300,-2.8094714
20170121T0000,-2.8194714
20170121T0100,-2.5894713
20170121T0200,-2.6994715
20170121T0300,-2.5694714
20170121T0400,-2.4894714
20170121T0500,-2.6594715
20170121T0600,-3.0294714
20170121T0700,-3.4594715
20170121T0800,-3.8794715
20170121T0900,-3.3794715
20170121T1000,-1.6394713
20170121T1100,-0.04947134
20170121T1200,1.6705287
20170121T1300,1.6505287
20170121T1400,2.1705287
20170121T1500,2.4305286
20170121T1600,2.1305285
20170121T1700,1.8605287
20170121T1800,0.84052867
20170121T1900,-0.38947132
20170121T2000,-1.0194713
20170121T2100,-1.1694714
20170121T2200,-1.4194714
20170121T2300,-1.7094713
20170122T0000,-2.0894713
20170122T0100,-2.2694714
20170122T0200,-1.8094714
20170122T0300,-1.1594714
20170122T0400,-1.0694714
20170122T0500,-0.93947136
20170122T0600,-1.2494713
20170122T0700,-1.6994714
20170122T0800,-2.2994714
20170122T0900,-2.3794715
20170122T1000,-0.63947135
20170122T1100,0.6405287
20170122T1200,1.5205287
20170122T1300,1.3305286
20170122T1400,1.8305286
20170122T1500,2.1305285
20170122T1600,2.2005286
20170122T1700,1.7905287
20170122T1800,1.1505287
20170122T1900,0.030528657
20170122T2000,-0.70947134
20170122T2100,-0.9794713
20170122T2200,-0.9994713
20170122T2300,-1.2194713
20170123T0000,-1.4494714
20170123T0100,-1.6594714
20170123T0200,-1.7994714
20170123T0300,-1.9894713
20170123T0400,-2.0894713
20170123T0500,-2.1994715
20170123T0600,-2.1194715
20170123T0700,-2.2894714
20170123T0800,-2.4394715
